Species,Date,UTM_X,UTM_Y,Sex,Wing,Culmen,Mass
APAP,20-Jun-19,194457,2182480,F,70,16.2,15.2
APAP,19-Jun-19,194457,2182480,M,76,17.4,NA
HAAM,18-Jun-19,194457,2182480,F,60,13.1,NA
HAAM,20-Jun-19,194457,2182480,F,61,13.2,NA
HAAM,18-Jun-19,194457,2182480,F,66,13.9,12.4
HAAM,20-Jun-19,194457,2182480,M,67,15,12.4
HAAM,19-Jun-19,194457,2182480,M,63,14.6,NA
APAP,18-Jun-19,194457,2182480,M,75,16.2,14.7
HAAM,18-Jun-19,194457,2182480,M,64,14.1,12.3
APAP,18-Jun-19,194457,2182480,F,70,16.9,16
APAP,19-Jun-19,194457,2182480,F,72,17,16
APAP,20-Jun-19,194457,2182480,F,69,17.3,16
HAAM,18-Jun-19,194457,2182480,M,65,15.6,NA
IIWI,18-Jun-19,194457,2182480,F,70,24.1,12.7
HAAM,18-Jun-19,194457,2182480,F,60,13.1,12.9
HAAM,18-Jun-19,194457,2182480,F,63,13.1,10.8
APAP,19-Jun-19,194457,2182480,M,76,17.5,14.7
HAAM,19-Jun-19,194457,2182480,F,63,13.8,10.9
HAAM,19-Jun-19,194457,2182480,F,59,14.2,11.6
HAAM,19-Jun-19,194457,2182480,F,57,14.1,10.4
HAAM,19-Jun-19,194457,2182480,F,62,14,11.7
HAAM,20-Jun-19,194457,2182480,F,62,13.6,11.7
HAAM,19-Jun-19,194457,2182480,F,62,14.3,NA
APAP,19-Jun-19,194457,2182480,M,75,17.6,12.9
APAP,19-Jun-19,194457,2182480,M,80,16.8,15.6
APAP,19-Jun-19,194457,2182480,M,76,17.3,15.2
APAP,19-Jun-19,194457,2182480,M,78,17.7,15.6
APAP,19-Jun-19,194457,2182480,F,65,16.3,14.8
HAAM,20-Jun-19,194457,2182480,F,61,14.6,11.2
APAP,20-Jun-19,194457,2182480,M,76,15.9,14.3
HAAM,26-Feb-20,198643,2185061,M,65,15.4,12
HAAM,26-Feb-20,198643,2185061,F,58,12.5,NA
HAAM,26-Feb-20,198643,2185061,M,67,16.3,12.7
HAAM,26-Feb-20,198643,2185061,F,66,14.4,NA
HAAM,26-Feb-20,198643,2185061,M,65,14.6,NA
HAAM,26-Feb-20,198643,2185061,F,64,14.7,NA
HAAM,26-Feb-20,198643,2185061,M,63,15,NA
HAAM,26-Feb-20,198643,2185061,M,64,16.6,NA
HAAM,26-Feb-20,198643,2185061,M,63,16,NA
HAAM,26-Feb-20,198643,2185061,M,66,13.7,12.4
HAAM,26-Feb-20,198643,2185061,M,65,14.3,NA
HAAM,26-Feb-20,198643,2185061,M,65,14.3,NA
HAAM,26-Feb-20,198643,2185061,F,64,14.8,NA
HAAM,26-Feb-20,198643,2185061,M,67,15,NA
APAP,26-Feb-20,198643,2185061,M,75,16.4,NA
HAAM,26-Feb-20,198643,2185061,M,67,15.4,NA
APAP,26-Feb-20,198643,2185061,M,75,17,NA
IIWI,26-Feb-20,198643,2185061,M,86,28.6,NA
HAAM,26-Feb-20,198643,2185061,M,65,15.4,13
HAAM,26-Feb-20,198643,2185061,M,64,15.4,NA
HAAM,26-Feb-20,198643,2185061,M,66,14.6,NA
HAAM,27-Feb-20,198643,2185061,M,63,14.6,NA
HAAM,26-Feb-20,198643,2185061,F,63,14.1,13.5
HAAM,26-Feb-20,198643,2185061,M,67,14.5,NA
HAAM,26-Feb-20,198643,2185061,M,66,15.4,NA
HAAM,27-Feb-20,198643,2185061,M,67,14.9,NA
HAAM,27-Feb-20,198643,2185061,M,63,14.8,13.6
HAAM,27-Feb-20,198643,2185061,F,62,14.4,NA
HAAM,27-Feb-20,198643,2185061,F,65,13.8,NA
HAAM,27-Feb-20,198643,2185061,M,68,16,NA
HAAM,27-Feb-20,198643,2185061,M,66,16.3,NA
HAAM,25-Feb-20,198643,2185061,M,66,14,11.8
HAAM,25-Feb-20,198643,2185061,M,65,13.5,12
HAAM,25-Feb-20,198643,2185061,M,64,14.8,NA
HAAM,25-Feb-20,198643,2185061,M,65,15.4,13
HAAM,25-Feb-20,198643,2185061,M,64,14.7,NA
HAAM,25-Feb-20,198643,2185061,M,63,14,NA
HAAM,25-Feb-20,198643,2185061,M,64,14.6,NA
HAAM,25-Feb-20,198643,2185061,F,62,11.9,12.9
HAAM,25-Feb-20,198643,2185061,M,62,13.9,NA
HAAM,25-Feb-20,198643,2185061,M,63,13.7,11.8
HAAM,25-Feb-20,198643,2185061,M,63,14.6,12.2
HAAM,25-Feb-20,198643,2185061,M,63,14,12
IIWI,25-Feb-20,198643,2185061,F,74,25.8,15.7
HAAM,25-Feb-20,198643,2185061,M,58,15,NA
HAAM,25-Feb-20,198643,2185061,F,60,13.5,11.8
HAAM,25-Feb-20,198643,2185061,M,67,15.2,NA
HAAM,25-Feb-20,198643,2185061,F,61,13.2,NA
HAAM,25-Feb-20,198643,2185061,M,66,15.4,NA
HAAM,25-Feb-20,198643,2185061,M,65,15.3,11.9
HAAM,25-Feb-20,198643,2185061,M,64,13.7,12.8
HAAM,25-Feb-20,198643,2185061,M,67,15.3,12
HAAM,25-Feb-20,198643,2185061,M,63,15.6,12.3
APAP,25-Feb-20,198643,2185061,M,73,17.8,15
HAAM,25-Feb-20,198643,2185061,M,61,15.9,NA
HAAM,25-Feb-20,198643,2185061,M,64,14,11.7
HAAM,25-Feb-20,198643,2185061,M,62,16,11.6
HAAM,25-Feb-20,198643,2185061,M,63,15.5,NA
HAAM,25-Feb-20,198643,2185061,M,62,14.2,12
HAAM,25-Feb-20,198643,2185061,M,63,15.4,11.8
HAAM,25-Feb-20,198643,2185061,M,65,15.1,NA
HAAM,25-Feb-20,198643,2185061,M,63,15,12.4
HAAM,25-Feb-20,198643,2185061,F,61,13.6,11.3
HAAM,25-Feb-20,198643,2185061,M,66,14.9,NA
HAAM,25-Feb-20,198643,2185061,M,65,14.7,12.2
HAAM,25-Feb-20,198643,2185061,M,63,14.1,12.8
HAAM,25-Feb-20,198643,2185061,M,63,15.1,NA
HAAM,25-Feb-20,198643,2185061,M,65,14.1,12.5
HAAM,25-Feb-20,198643,2185061,M,62,13.4,NA
HAAM,25-Feb-20,198643,2185061,M,63,14.5,NA
HAAM,25-Feb-20,198643,2185061,M,63,14.2,NA
HAAM,25-Feb-20,198643,2185061,M,65,14.7,12
HAAM,25-Feb-20,198643,2185061,M,65,16.3,NA
HAAM,25-Feb-20,198643,2185061,F,63,13.7,NA
HAAM,25-Feb-20,198643,2185061,M,59,13.9,NA
HAAM,25-Feb-20,198643,2185061,M,64,13.8,11.7
HAAM,26-Feb-20,198643,2185061,M,67,16.1,NA
HAAM,26-Feb-20,198643,2185061,M,65,14,NA
HAAM,26-Feb-20,198643,2185061,M,64,14.1,13
HAAM,26-Feb-20,198643,2185061,F,63,13.4,12.3
IIWI,25-Feb-20,198643,2185061,M,77,28.2,19.4
IIWI,25-Feb-20,198643,2185061,M,77,28.3,NA
IIWI,26-Feb-20,198643,2185061,M,81,29.1,NA
HAAM,7-Jul-20,202798,2190029,M,63,14,NA
HAAM,8-Jul-20,202798,2190029,M,63,14.4,NA
HAAM,8-Jul-20,202798,2190029,M,62,15.5,NA
HAAM,9-Jul-20,202798,2190029,M,62,13.8,12.7
IIWI,5-Nov-19,203750,2131136,M,74,24,NA
IIWI,7-Nov-19,203750,2131136,F,76,25,NA
IIWI,7-Nov-19,203750,2131136,M,80,27.2,NA
HAEL,5-Nov-19,203750,2131136,F,66,11.1,12.9
HAAM,6-Nov-19,203750,2131136,M,64,14.6,NA
HAAM,5-Nov-19,203750,2131136,M,65,14.5,NA
APAP,5-Nov-19,203750,2131136,M,74,17.5,NA
HAAM,5-Nov-19,203750,2131136,M,64,13.8,NA
HAAM,5-Nov-19,203750,2131136,M,64,14.6,NA
HAAM,5-Nov-19,203750,2131136,F,66,13.7,NA
HAEL,5-Nov-19,203750,2131136,M,75,13.2,14.5
HAEL,5-Nov-19,203750,2131136,F,70,13.9,13
HAEL,5-Nov-19,203750,2131136,M,73,12.9,16
HAAM,6-Nov-19,203750,2131136,M,64,14,NA
HAAM,6-Nov-19,203750,2131136,M,NA,15.1,NA
HAAM,6-Nov-19,203750,2131136,M,64,14.2,NA
APAP,6-Nov-19,203750,2131136,M,76,18.6,NA
APAP,6-Nov-19,203750,2131136,M,75,18.3,NA
HAAM,6-Nov-19,203750,2131136,M,67,14.2,NA
HAAM,6-Nov-19,203750,2131136,M,65,17.2,12.5
HAAM,6-Nov-19,203750,2131136,M,65,15.7,NA
APAP,6-Nov-19,203750,2131136,M,75,18.1,NA
APAP,6-Nov-19,203750,2131136,M,76,18.7,NA
APAP,6-Nov-19,203750,2131136,M,76,19,NA
HAAM,6-Nov-19,203750,2131136,M,66,15.3,NA
APAP,6-Nov-19,203750,2131136,M,75,17.2,NA
APAP,6-Nov-19,203750,2131136,F,67,17.3,NA
APAP,6-Nov-19,203750,2131136,M,74,17.8,NA
HAAM,6-Nov-19,203750,2131136,M,66,14.8,NA
APAP,6-Nov-19,203750,2131136,M,74,18,NA
HAEL,7-Nov-19,203750,2131136,M,77,14.2,14
HAAM,7-Nov-19,203750,2131136,M,65,14.5,NA
HAAM,7-Nov-19,203750,2131136,M,64,15.4,NA
HAAM,7-Nov-19,203750,2131136,M,65,14.1,NA
HAAM,7-Nov-19,203750,2131136,M,66,14.9,NA
HAAM,7-Nov-19,203750,2131136,M,74,17.9,NA
HAAM,17-Mar-20,204516,2113995,M,64,15.4,NA
HAAM,18-Mar-20,204516,2113995,F,60,12.7,10.9
HAAM,19-Mar-20,204516,2113995,M,65,14.1,NA
HAAM,19-Mar-20,204516,2113995,F,61,14.5,14
HAAM,23-Jun-20,204516,2113995,F,59,13.8,12.2
HAAM,26-Jun-19,204516,2113995,M,62,13.5,11.5
HAAM,26-Mar-19,205339,2145604,M,65,15.1,13.8
HAAM,9-Jun-20,205339,2145604,M,64,13.9,13.8
HAAM,26-Mar-19,205339,2145604,M,63,14.7,12.2
APAP,26-Mar-19,205339,2145604,M,73,18.7,13.9
APAP,26-Mar-19,205339,2145604,M,77,18.4,15.1
APAP,26-Mar-19,205339,2145604,F,71,17.7,15.2
HAAM,26-Mar-19,205339,2145604,M,64,15.4,12.4
HAAM,9-Jun-20,205339,2145604,M,64,15.1,12.4
HAAM,26-Mar-19,205339,2145604,M,62,13.7,NA
APAP,26-Mar-19,205339,2145604,M,76,17.4,15
HAAM,26-Mar-19,205339,2145604,M,65,15.5,13.9
HAAM,26-Mar-19,205339,2145604,M,66,15.4,12.3
HAAM,27-Mar-19,205339,2145604,M,66,15.4,12.3
APAP,27-Mar-19,205339,2145604,M,74,18.6,14.7
HAAM,27-Mar-19,205339,2145604,M,65,14.3,13
HAAM,27-Mar-19,205339,2145604,F,63,12.9,13.4
APAP,27-Mar-19,205339,2145604,M,70,18.1,14.8
HAAM,27-Mar-19,205339,2145604,M,67,15.5,NA
HAAM,27-Mar-19,205339,2145604,F,65,14.3,13
HAAM,27-Mar-19,205339,2145604,M,63,13.7,12.9
HAAM,27-Mar-19,205339,2145604,M,64,13.4,NA
APAP,9-Jun-20,205339,2145604,M,76,18.2,NA
APAP,9-Jun-20,205339,2145604,F,66,15,NA
HAEL,9-Jun-20,205339,2145604,M,74,12.6,17
HAAM,9-Jun-20,205339,2145604,F,60,12.2,12
